date,cci,indiesleaze_skinnyjeans,indiesleaze_cheetahprint,indiesleaze_furcoat,indiesleaze_leatherskirt,indiesleaze_discopants,lipstickindex_lipstick,lipstickindex_lip_stick,lipstickindex_lipgloss,lipstickindex_lipliner,lipstickindex_liptint,maxiskirt_maxiskirt,maxiskirt_longskirt,maxiskirt_bohoskirt,maxiskirt_maxidress,maxiskirt_longdress,bigbag_hobobag,bigbag_oversizedbag,bigbag_totebag,bigbag_neverfull,bigbag_balenciagacitybag,highheelindex_highheels,highheelindex_stilletoheel,highheelindex_platforms,highheelindex_platformheels,highheelindex_pumps,peplums_peplum,peplums_peplumtops,peplums_peplumdress,peplums_rufflewaist,peplums_peplumblazer,blazers_blazer,blazers_womensblazer,blazers_oversizedblazer,blazers_boyfriendblazer,blazers_croppedblazer,mini_miniskirt,mini_minidress,mini_micromini,mini_microshort,mini_micominiskirt,cpi,cci_fred,consumer_sentiment,unemployment_rate,retail_sales_clothing,personal_saving_rate,retail_total_spending,retail_avg_transaction,retail_transaction_count,retail_unique_customers,census_sales_naics_446,census_sales_naics_44812,census_cci,cpi_index,inflation_rate_yoy,year,month,quarter,is_great_recession,is_covid_crisis,is_inflation_surge
2004-01-01,100.8491,0.0,24.67,208.045,62.203,0.0,0.0,88.675,114.368,0.0,0.0,0.0,44.59,0.0,0.0,80.369,14.78,0.0,125.558,0.0,0.0,445.382,0.0,100.429,17.269,672.85,0.0,0.0,0.0,0,0.0,611.221,0.0,0.0,0.0,0.0,165.44,0.0,223.985,0.0,15.807,194.6,111.683,103.8,5.7,11489,4.6,,,,,16187.0,2794.0,111.683,1.0,,2004,1,1,0,0,0
2004-02-01,100.8355,0.0,0.0,130.028,39.286,0.0,0.0,104.797,130.706,16.13,0.0,0.0,47.068,0.0,0.0,66.974,13.302,0.0,109.863,0.0,0.0,408.267,0.0,113.528,0.0,706.077,0.0,0.0,0.0,0,0.0,565.945,0.0,0.0,0.0,0.0,174.632,0.0,244.661,0.0,15.632,194.9,101.5691,94.4,5.6,12990,4.6,,,,,15914.0,2835.0,101.5691,1.0015416238437822,,2004,2,1,0,0,0
2004-03-01,100.7913,0.0,0.0,91.02,42.56,0.0,0.0,92.705,130.706,21.507,0.0,0.0,37.159,0.0,0.0,80.369,32.516,0.0,141.253,0.0,0.0,393.421,0.0,91.696,0.0,772.531,0.0,0.0,0.0,0,0.0,588.583,0.0,0.0,0.0,0.0,211.396,0.0,251.553,0.0,0.0,195.5,103.0754,95.8,5.8,14410,4.5,,,,,16250.0,2858.0,103.0754,1.0046248715313464,,2004,3,1,0,0,0
2004-04-01,100.7505,0.0,0.0,52.011,26.191,0.0,0.0,116.889,114.368,0.0,0.0,0.0,47.068,0.0,0.0,80.369,13.302,0.0,141.253,0.0,0.0,393.421,0.0,100.429,0.0,747.611,0.0,0.0,0.0,0,0.0,543.308,0.0,0.0,0.0,0.0,220.587,0.0,230.877,0.0,0.0,195.9,101.3539,94.2,5.6,14702,4.9,,,,,16284.0,2791.0,101.3539,1.0066803699897227,,2004,4,2,0,0,0
2004-05-01,100.7282,0.0,0.0,52.011,29.464,0.0,0.0,112.859,147.045,0.0,0.0,0.0,59.454,0.0,0.0,80.369,13.302,0.0,125.558,0.0,0.0,385.998,0.0,91.696,17.269,822.372,0.0,0.0,0.0,0,0.0,543.308,0.0,0.0,0.0,0.0,229.778,0.0,251.553,0.0,0.0,196.2,97.05012,90.2,5.6,15002,4.8,,,,,16302.0,2825.0,97.05012,1.0082219938335046,,2004,5,2,0,0,0
2004-06-01,100.7717,0.0,0.0,65.014,22.917,0.0,0.0,72.552,98.03,0.0,0.0,0.0,44.59,0.0,0.0,66.974,17.736,0.0,141.253,0.0,0.0,408.267,4.532,82.963,15.111,830.679,0.0,0.0,0.0,0,0.0,498.032,0.0,0.0,0.0,0.0,229.778,0.0,292.904,22.166,0.0,196.6,102.8602,95.6,5.6,13888,5.4,,,,,16360.0,2807.0,102.8602,1.0102774922918807,,2004,6,2,0,0,0
2004-07-01,100.8285,0.0,32.894,78.017,32.738,0.0,0.0,80.613,130.706,16.13,0.0,0.0,39.636,0.0,0.0,53.579,26.604,0.0,156.948,0.0,0.0,423.113,0.0,96.062,21.587,789.145,0.0,0.0,0.0,0,0.0,565.945,0.0,0.0,0.0,0.0,229.778,0.0,279.12,0.0,0.0,196.8,104.0438,96.7,5.5,14314,4.7,,,,,16375.0,2795.0,104.0438,1.011305241521069,,2004,7,3,0,0,0
2004-08-01,100.8303,0.0,24.67,104.022,39.286,0.0,0.0,104.797,114.368,26.884,0.0,0.0,42.113,0.0,0.0,66.974,31.038,0.0,156.948,0.0,0.0,385.998,0.0,100.429,0.0,739.304,0.0,0.0,0.0,0,0.0,656.497,0.0,0.0,0.0,0.0,238.97,0.0,282.566,0.0,15.28,196.9,103.183,95.9,5.4,15219,4.7,,,,,16428.0,2794.0,103.183,1.0118191161356629,,2004,8,3,0,0,0
2004-09-01,100.8061,0.0,24.67,117.025,45.834,0.0,0.0,157.196,114.368,21.507,0.0,0.0,47.068,0.0,0.0,80.369,31.038,0.0,156.948,0.0,0.0,400.844,0.0,152.826,15.111,689.463,0.0,0.0,0.0,0,0.0,656.497,0.0,0.0,0.0,0.0,193.014,0.0,279.12,0.0,0.0,197.5,101.3539,94.2,5.4,13884,4.1,,,,,16414.0,2873.0,101.3539,1.014902363823227,,2004,9,3,0,0,0
2004-10-01,100.81,10.872,24.67,208.045,45.834,0.0,0.0,157.196,114.368,10.753,0.0,0.0,49.545,0.0,0.0,93.764,44.341,0.0,125.558,0.0,0.0,393.421,4.394,165.926,17.269,664.543,0.0,0.0,0.0,0,0.0,747.048,0.0,0.0,0.0,0.0,211.396,4.097,241.215,0.0,0.0,197.9,98.66404,91.7,5.5,15207,3.9,,,,,16588.0,2920.0,98.66404,1.0169578622816033,,2004,10,4,0,0,0
