Column_Name,Category,Data_Type,Description,Non_Null_Count,Null_Count,Null_Percentage
date,Temporal,datetime64[ns],Date (monthly frequency),252,0,0.0%
cci,Economic Indicator,float64,FRED economic indicator: cci,252,0,0.0%
indiesleaze_skinnyjeans,Other,float64,indiesleaze_skinnyjeans,252,0,0.0%
indiesleaze_cheetahprint,Other,float64,indiesleaze_cheetahprint,252,0,0.0%
indiesleaze_furcoat,Other,float64,indiesleaze_furcoat,252,0,0.0%
indiesleaze_leatherskirt,Other,float64,indiesleaze_leatherskirt,252,0,0.0%
indiesleaze_discopants,Other,float64,indiesleaze_discopants,252,0,0.0%
lipstickindex_lipstick,Other,float64,lipstickindex_lipstick,252,0,0.0%
lipstickindex_lip_stick,Other,float64,lipstickindex_lip_stick,252,0,0.0%
lipstickindex_lipgloss,Other,float64,lipstickindex_lipgloss,252,0,0.0%
lipstickindex_lipliner,Other,float64,lipstickindex_lipliner,252,0,0.0%
lipstickindex_liptint,Other,float64,lipstickindex_liptint,252,0,0.0%
maxiskirt_maxiskirt,Other,float64,maxiskirt_maxiskirt,252,0,0.0%
maxiskirt_longskirt,Other,float64,maxiskirt_longskirt,252,0,0.0%
maxiskirt_bohoskirt,Other,float64,maxiskirt_bohoskirt,252,0,0.0%
maxiskirt_maxidress,Other,float64,maxiskirt_maxidress,252,0,0.0%
maxiskirt_longdress,Other,float64,maxiskirt_longdress,252,0,0.0%
bigbag_hobobag,Other,float64,bigbag_hobobag,252,0,0.0%
bigbag_oversizedbag,Other,float64,bigbag_oversizedbag,252,0,0.0%
bigbag_totebag,Other,float64,bigbag_totebag,252,0,0.0%
bigbag_neverfull,Other,float64,bigbag_neverfull,252,0,0.0%
bigbag_balenciagacitybag,Other,float64,bigbag_balenciagacitybag,252,0,0.0%
highheelindex_highheels,Other,float64,highheelindex_highheels,252,0,0.0%
highheelindex_stilletoheel,Other,float64,highheelindex_stilletoheel,252,0,0.0%
highheelindex_platforms,Other,float64,highheelindex_platforms,252,0,0.0%
highheelindex_platformheels,Other,float64,highheelindex_platformheels,252,0,0.0%
highheelindex_pumps,Other,float64,highheelindex_pumps,252,0,0.0%
peplums_peplum,Other,float64,peplums_peplum,252,0,0.0%
peplums_peplumtops,Other,float64,peplums_peplumtops,252,0,0.0%
peplums_peplumdress,Other,float64,peplums_peplumdress,252,0,0.0%
peplums_rufflewaist,Other,int64,peplums_rufflewaist,252,0,0.0%
peplums_peplumblazer,Other,float64,peplums_peplumblazer,252,0,0.0%
blazers_blazer,Other,float64,blazers_blazer,252,0,0.0%
blazers_womensblazer,Other,float64,blazers_womensblazer,252,0,0.0%
blazers_oversizedblazer,Other,float64,blazers_oversizedblazer,252,0,0.0%
blazers_boyfriendblazer,Other,float64,blazers_boyfriendblazer,252,0,0.0%
blazers_croppedblazer,Other,float64,blazers_croppedblazer,252,0,0.0%
mini_miniskirt,Other,float64,mini_miniskirt,252,0,0.0%
mini_minidress,Other,float64,mini_minidress,252,0,0.0%
mini_micromini,Other,float64,mini_micromini,252,0,0.0%
mini_microshort,Other,float64,mini_microshort,252,0,0.0%
mini_micominiskirt,Other,float64,mini_micominiskirt,252,0,0.0%
cpi,Economic Indicator,float64,FRED economic indicator: cpi,252,0,0.0%
cpi_index,Other,float64,cpi_index,252,0,0.0%
inflation_rate_yoy,Other,float64,inflation_rate_yoy,240,12,4.8%
consumer_sentiment,Economic Indicator,float64,FRED economic indicator: consumer_sentiment,252,0,0.0%
