date,cci,indiesleaze_skinnyjeans,indiesleaze_cheetahprint,indiesleaze_furcoat,indiesleaze_leatherskirt,indiesleaze_discopants,lipstickindex_lipstick,lipstickindex_lip_stick,lipstickindex_lipgloss,lipstickindex_lipliner,lipstickindex_liptint,maxiskirt_maxiskirt,maxiskirt_longskirt,maxiskirt_bohoskirt,maxiskirt_maxidress,maxiskirt_longdress,bigbag_hobobag,bigbag_oversizedbag,bigbag_totebag,bigbag_neverfull,bigbag_balenciagacitybag,highheelindex_highheels,highheelindex_stilletoheel,highheelindex_platforms,highheelindex_platformheels,highheelindex_pumps,peplums_peplum,peplums_peplumtops,peplums_peplumdress,peplums_rufflewaist,peplums_peplumblazer,blazers_blazer,blazers_womensblazer,blazers_oversizedblazer,blazers_boyfriendblazer,blazers_croppedblazer,mini_miniskirt,mini_minidress,mini_micromini,mini_microshort,mini_micominiskirt,cpi,cpi_index,inflation_rate_yoy,consumer_sentiment,unemployment_rate,retail_sales_clothing,retail_sales_real,personal_saving_rate,year,month,quarter,period,Indie Sleaze_score,Lipstick Index_score,Maxi Skirt_score,Big Bag_score,High Heel Index_score,Peplums_score,Blazers_score,Mini Skirts_score
2004-01-01,100.8491,0.0,24.67,208.045,62.203,0.0,0.0,88.675,114.368,0.0,0.0,0.0,44.59,0.0,0.0,80.369,14.78,0.0,125.558,0.0,0.0,445.382,0.0,100.429,17.269,672.85,0.0,0.0,0.0,0,0.0,611.221,0.0,0.0,0.0,0.0,165.44,0.0,223.985,0.0,15.807,194.6,1.0,,103.8,5.7,11489,11489.0,4.6,2004,1,1,Normal,-1.4710079424415559,-1.01000521295663,-1.1873974704182086,-1.473424894270664,-0.4706566372303734,-1.0448000031457534,-0.7352283507727613,-0.8291482672982701
2004-02-01,100.8355,0.0,0.0,130.028,39.286,0.0,0.0,104.797,130.706,16.13,0.0,0.0,47.068,0.0,0.0,66.974,13.302,0.0,109.863,0.0,0.0,408.267,0.0,113.528,0.0,706.077,0.0,0.0,0.0,0,0.0,565.945,0.0,0.0,0.0,0.0,174.632,0.0,244.661,0.0,15.632,194.9,1.0015416238437822,,94.4,5.6,12990,12970.005130836325,4.6,2004,2,1,Normal,-1.5032102520182986,-0.9219721477530268,-1.1305368527373492,-1.4744398506447722,-0.37139262909306037,-1.0448000031457534,-0.7352322246825129,-0.8166376074864468
2004-03-01,100.7913,0.0,0.0,91.02,42.56,0.0,0.0,92.705,130.706,21.507,0.0,0.0,37.159,0.0,0.0,80.369,32.516,0.0,141.253,0.0,0.0,393.421,0.0,91.696,0.0,772.531,0.0,0.0,0.0,0,0.0,588.583,0.0,0.0,0.0,0.0,211.396,0.0,251.553,0.0,0.0,195.5,1.0046248715313464,,95.8,5.8,14410,14343.66240409207,4.5,2004,3,1,Normal,-1.500923459674829,-0.9031753483240289,-1.357911658694908,-1.4612501825264759,-0.6098905167741006,-1.0448000031457534,-0.7352302877276371,-1.139814909095865
2004-04-01,100.7505,0.0,0.0,52.011,26.191,0.0,0.0,116.889,114.368,0.0,0.0,0.0,47.068,0.0,0.0,80.369,13.302,0.0,141.253,0.0,0.0,393.421,0.0,100.429,0.0,747.611,0.0,0.0,0.0,0,0.0,543.308,0.0,0.0,0.0,0.0,220.587,0.0,230.877,0.0,0.0,195.9,1.0066803699897227,,94.2,5.6,14702,14604.436957631442,4.9,2004,4,2,Normal,-1.5123606240455694,-0.99296468678428,-1.130536461327957,-1.4744389843274799,-0.5138932894347801,-1.0448000031457534,-0.7352341615518266,-1.0934397290556057
2004-05-01,100.7282,0.0,0.0,52.011,29.464,0.0,0.0,112.859,147.045,0.0,0.0,0.0,59.454,0.0,0.0,80.369,13.302,0.0,125.558,0.0,0.0,385.998,0.0,91.696,17.269,822.372,0.0,0.0,0.0,0,0.0,543.308,0.0,0.0,0.0,0.0,229.778,0.0,251.553,0.0,0.0,196.2,1.0082219938335046,,90.2,5.6,15002,14879.659531090723,4.8,2004,5,2,Normal,-1.5100738801535443,-0.9953977338211816,-0.8463232012021066,-1.474439417486126,-0.5854976330925817,-1.0448000031457534,-0.7352341615518266,-1.0759382564307793
2004-06-01,100.7717,0.0,0.0,65.014,22.917,0.0,0.0,72.552,98.03,0.0,0.0,0.0,44.59,0.0,0.0,66.974,17.736,0.0,141.253,0.0,0.0,408.267,4.532,82.963,15.111,830.679,0.0,0.0,0.0,0,0.0,498.032,0.0,0.0,0.0,0.0,229.778,0.0,292.904,22.166,0.0,196.6,1.0102774922918807,,95.6,5.6,13888,13746.718209562565,5.4,2004,6,2,Normal,-1.5146478498619051,-1.0197435722373522,-1.1873978618276007,-1.4713954146810944,-0.6234890704535229,-1.0448000031457534,-0.7352380354615783,-0.5483977076271163
2004-07-01,100.8285,0.0,32.894,78.017,32.738,0.0,0.0,80.613,130.706,16.13,0.0,0.0,39.636,0.0,0.0,53.579,26.604,0.0,156.948,0.0,0.0,423.113,0.0,96.062,21.587,789.145,0.0,0.0,0.0,0,0.0,565.945,0.0,0.0,0.0,0.0,229.778,0.0,279.12,0.0,0.0,196.8,1.011305241521069,,96.7,5.5,14314,14153.98577235772,4.7,2004,7,3,Normal,-1.4861994201167879,-0.9365786581716881,-1.3010743787547923,-1.4653078422296768,-0.5301882695258439,-1.0448000031457534,-0.7352322246825129,-1.0951866964656323
2004-08-01,100.8303,0.0,24.67,104.022,39.286,0.0,0.0,104.797,114.368,26.884,0.0,0.0,42.113,0.0,0.0,66.974,31.038,0.0,156.948,0.0,0.0,385.998,0.0,100.429,0.0,739.304,0.0,0.0,0.0,0,0.0,656.497,0.0,0.0,0.0,0.0,238.97,0.0,282.566,0.0,15.28,196.9,1.0118191161356629,,95.9,5.4,15219,15041.226003047232,4.7,2004,8,3,Normal,-1.4870210756416715,-0.8697725228199407,-1.2442359245865005,-1.4622642725832913,-0.5107631330857914,-1.0448000031457534,-0.7352244768630096,-0.629578368204499
2004-09-01,100.8061,0.0,24.67,117.025,45.834,0.0,0.0,157.196,114.368,21.507,0.0,0.0,47.068,0.0,0.0,80.369,31.038,0.0,156.948,0.0,0.0,400.844,0.0,152.826,15.111,689.463,0.0,0.0,0.0,0,0.0,656.497,0.0,0.0,0.0,0.0,193.014,0.0,279.12,0.0,0.0,197.5,1.014902363823227,,94.2,5.4,13884,13680.133670886076,4.1,2004,9,3,Normal,-1.4824459737746976,-0.8642249368931259,-1.130536461327957,-1.4622642725832913,0.07016288023863457,-1.0448000031457534,-0.7352244768630096,-1.2229400017958032
2004-10-01,100.81,10.872,24.67,208.045,45.834,0.0,0.0,157.196,114.368,10.753,0.0,0.0,49.545,0.0,0.0,93.764,44.341,0.0,125.558,0.0,0.0,393.421,4.394,165.926,17.269,664.543,0.0,0.0,0.0,0,0.0,747.048,0.0,0.0,0.0,0.0,211.396,4.097,241.215,0.0,0.0,197.9,1.0169578622816033,,91.7,5.5,15207,14953.421930267812,3.9,2004,10,4,Normal,-1.4765290695590894,-0.9164250461697828,-1.0736980071596651,-1.4531337435451785,0.27713888363259265,-1.0448000031457534,-0.7352167291290685,-0.3166657355584166
