date,cci,indiesleaze_skinnyjeans,indiesleaze_cheetahprint,indiesleaze_furcoat,indiesleaze_leatherskirt,indiesleaze_discopants,lipstickindex_lipstick,lipstickindex_lip_stick,lipstickindex_lipgloss,lipstickindex_lipliner,lipstickindex_liptint,maxiskirt_maxiskirt,maxiskirt_longskirt,maxiskirt_bohoskirt,maxiskirt_maxidress,maxiskirt_longdress,bigbag_hobobag,bigbag_oversizedbag,bigbag_totebag,bigbag_neverfull,bigbag_balenciagacitybag,highheelindex_highheels,highheelindex_stilletoheel,highheelindex_platforms,highheelindex_platformheels,highheelindex_pumps,peplums_peplum,peplums_peplumtops,peplums_peplumdress,peplums_rufflewaist,peplums_peplumblazer,blazers_blazer,blazers_womensblazer,blazers_oversizedblazer,blazers_boyfriendblazer,blazers_croppedblazer,mini_miniskirt,mini_minidress,mini_micromini,mini_microshort,mini_micominiskirt,indiesleaze_score,lipstickindex_score,maxiskirt_score,bigbag_score,highheelindex_score,peplums_score,blazers_score,mini_score
,100.8491,0.0,24.67,208.045,62.203,0.0,0.0,88.675,114.368,0.0,0.0,0.0,44.59,0.0,0.0,80.369,14.78,0.0,125.558,0.0,0.0,445.382,0.0,100.429,17.269,672.85,0.0,0.0,0.0,0,0.0,611.221,0.0,0.0,0.0,0.0,165.44,0.0,223.985,0.0,15.807,-1.343573306231235,-0.34935148260004734,-0.9457430470771653,-1.4557903570829935,-1.1298266216366515,-0.6034181220595345,-0.8755766689117914,-0.7420377710051854
,100.8355,0.0,0.0,130.028,39.286,0.0,0.0,104.797,130.706,16.13,0.0,0.0,47.068,0.0,0.0,66.974,13.302,0.0,109.863,0.0,0.0,408.267,0.0,113.528,0.0,706.077,0.0,0.0,0.0,0,0.0,565.945,0.0,0.0,0.0,0.0,174.632,0.0,244.661,0.0,15.632,-1.4805126896112892,-0.28977790453943175,-0.9457482027066463,-1.5052966676939816,-1.433856687049389,-0.6034181220595345,-0.8756066981242943,-0.7107008569820629
,100.7913,0.0,0.0,91.02,42.56,0.0,0.0,92.705,130.706,21.507,0.0,0.0,37.159,0.0,0.0,80.369,32.516,0.0,141.253,0.0,0.0,393.421,0.0,91.696,0.0,772.531,0.0,0.0,0.0,0,0.0,588.583,0.0,0.0,0.0,0.0,211.396,0.0,251.553,0.0,0.0,-1.4736260041800304,-0.33445009668382064,-0.9457430470771653,-0.8619470274189415,-1.5899403898890565,-0.6034181220595345,-0.8755916835180428,-1.0242633424850434
,100.7505,0.0,0.0,52.011,26.191,0.0,0.0,116.889,114.368,0.0,0.0,0.0,47.068,0.0,0.0,80.369,13.302,0.0,141.253,0.0,0.0,393.421,0.0,100.429,0.0,747.611,0.0,0.0,0.0,0,0.0,543.308,0.0,0.0,0.0,0.0,220.587,0.0,230.877,0.0,0.0,-1.5080573278893392,-0.24511883050264513,-0.9457430470771653,-1.5052544135725625,-1.5314095885111931,-0.6034181220595345,-0.8756217120672978,-0.9877866457521058
,100.7282,0.0,0.0,52.011,29.464,0.0,0.0,112.859,147.045,0.0,0.0,0.0,59.454,0.0,0.0,80.369,13.302,0.0,125.558,0.0,0.0,385.998,0.0,91.696,17.269,822.372,0.0,0.0,0.0,0,0.0,543.308,0.0,0.0,0.0,0.0,229.778,0.0,251.553,0.0,0.0,-1.5011727459050659,-0.2599808612931452,-0.9457430470771653,-1.5052755406332718,-1.4810161273999272,-0.6034181220595345,-0.8756217120672978,-0.9513099490191685
,100.7717,0.0,0.0,65.014,22.917,0.0,0.0,72.552,98.03,0.0,0.0,0.0,44.59,0.0,0.0,66.974,17.736,0.0,141.253,0.0,0.0,408.267,4.532,82.963,15.111,830.679,0.0,0.0,0.0,0,0.0,498.032,0.0,0.0,0.0,0.0,229.778,0.0,292.904,22.166,0.0,-1.5149440133205982,-0.40892875501992065,-0.9457482027066463,-1.3567988629217267,-1.0799830658980147,-0.6034181220595345,-0.8756517412798007,-0.4042078007396566
,100.8285,0.0,32.894,78.017,32.738,0.0,0.0,80.613,130.706,16.13,0.0,0.0,39.636,0.0,0.0,53.579,26.604,0.0,156.948,0.0,0.0,423.113,0.0,96.062,21.587,789.145,0.0,0.0,0.0,0,0.0,565.945,0.0,0.0,0.0,0.0,229.778,0.0,279.12,0.0,0.0,-1.3759707441520461,-0.37912228882820953,-0.9457533583361272,-1.059866634559346,-1.3464674077178111,-0.6034181220595345,-0.8756066981242943,-0.9513099490191685
,100.8303,0.0,24.67,104.022,39.286,0.0,0.0,104.797,114.368,26.884,0.0,0.0,42.113,0.0,0.0,66.974,31.038,0.0,156.948,0.0,0.0,385.998,0.0,100.429,0.0,739.304,0.0,0.0,0.0,0,0.0,656.497,0.0,0.0,0.0,0.0,238.97,0.0,282.566,0.0,15.28,-1.3917780008030616,-0.289791022647034,-0.9457482027066463,-0.9114110839085102,-1.5118985384692227,-0.6034181220595345,-0.8755466396992885,-0.46570629974279903
,100.8061,0.0,24.67,117.025,45.834,0.0,0.0,157.196,114.368,21.507,0.0,0.0,47.068,0.0,0.0,80.369,31.038,0.0,156.948,0.0,0.0,400.844,0.0,152.826,15.111,689.463,0.0,0.0,0.0,0,0.0,656.497,0.0,0.0,0.0,0.0,193.014,0.0,279.12,0.0,0.0,-1.3780046299405437,-0.09621029190159636,-0.9457430470771653,-0.9114110839085102,-1.1970867207516094,-0.6034181220595345,-0.8755466396992885,-1.097216735950918
,100.81,10.872,24.67,208.045,45.834,0.0,0.0,157.196,114.368,10.753,0.0,0.0,49.545,0.0,0.0,93.764,44.341,0.0,125.558,0.0,0.0,393.421,4.394,165.926,17.269,664.543,0.0,0.0,0.0,0,0.0,747.048,0.0,0.0,0.0,0.0,211.396,4.097,241.215,0.0,0.0,-1.3561434353713175,-0.09621029190159636,-0.9457378914476844,-0.46605320489775404,-0.6751966584735337,-0.6034181220595345,-0.8754865819375307,-0.30803603754888764
