cci,trend_score,indicator
100.8491,-1.343573306231235,Indiesleaze
100.8355,-1.4805126896112892,Indiesleaze
100.7913,-1.4736260041800304,Indiesleaze
100.7505,-1.5080573278893392,Indiesleaze
100.7282,-1.501172745905066,Indiesleaze
100.7717,-1.5149440133205982,Indiesleaze
100.8285,-1.375970744152046,Indiesleaze
100.8303,-1.3917780008030616,Indiesleaze
100.8061,-1.3780046299405435,Indiesleaze
100.81,-1.3561434353713175,Indiesleaze
100.8644,-1.3265628078577842,Indiesleaze
100.9582,-1.3002193078551838,Indiesleaze
101.0323,-1.4144683460191498,Indiesleaze
101.011,-1.3946207743809664,Indiesleaze
100.8773,-1.4262093245123704,Indiesleaze
100.7314,-1.4124380570968382,Indiesleaze
100.6746,-1.4173111195970547,Indiesleaze
100.7139,-1.5080573278893392,Indiesleaze
100.6771,-1.4379690724438456,Indiesleaze
100.4738,-1.3589841981697366,Indiesleaze
100.2284,-1.3755982391631736,Indiesleaze
100.2087,-1.344007678252284,Indiesleaze
100.4345,-1.3339042208350471,Indiesleaze
100.7531,-1.3043271901877005,Indiesleaze
100.9735,-1.307169963765605,Indiesleaze
101.0192,-1.3654968851929228,Indiesleaze
100.9796,-1.3594185701907855,Indiesleaze
100.8748,-1.319738082126202,Indiesleaze
100.7045,-1.3533590246269034,Indiesleaze
100.6121,-1.316895308548297,Indiesleaze
100.5865,-1.2107944677040154,Indiesleaze
100.6138,-1.0504147315122412,Indiesleaze
100.7571,-0.9872090472715352,Indiesleaze
100.9613,-0.9232006929148788,Indiesleaze
101.0749,-0.9726106399886264,Indiesleaze
101.1291,-1.067402770913751,Indiesleaze
101.1371,-1.1111291816111746,Indiesleaze
101.0739,-1.1180158670424334,Indiesleaze
100.9943,-1.1909468960658316,Indiesleaze
100.9702,-1.1763427884697513,Indiesleaze
100.9881,-1.1694561030384925,Indiesleaze
100.9631,-1.1358331497583054,Indiesleaze
100.9196,-1.0742894563450098,Indiesleaze
100.7676,-0.9434846473535974,Indiesleaze
100.5712,-0.935770822054962,Indiesleaze
100.3328,-0.8596231137130861,Indiesleaze
100.0589,-0.7831029003823375,Indiesleaze
99.8483,-0.6660750591196288,Indiesleaze
99.63045,-0.7385513605970231,Indiesleaze
99.32162,-0.7632532252971682,Indiesleaze
98.95058,-0.8155241980267897,Indiesleaze
98.49242,-0.8434433520731981,Indiesleaze
98.04234,-0.8572167229357159,Indiesleaze
97.69081,-0.8653045466424241,Indiesleaze
97.58231,-0.6758024146818069,Indiesleaze
97.66558,-0.4489982114838632,Indiesleaze
97.67867,-0.4327621904574708,Indiesleaze
97.41298,-0.4076802023432955,Indiesleaze
97.16837,-0.2395845374059003,Indiesleaze
97.03234,-0.28218852818632,Indiesleaze
96.9688,-0.3760692859074507,Indiesleaze
96.97824,-0.4749094429124006,Indiesleaze
97.20629,-0.4785788389973965,Indiesleaze
97.66534,-0.5806321711221382,Indiesleaze
98.12306,-0.4457850363640717,Indiesleaze
98.46567,-0.4275917444606411,Indiesleaze
98.68877,-0.3846980812762658,Indiesleaze
98.89773,-0.0749458210887904,Indiesleaze
99.11938,-0.1886797580937764,Indiesleaze
99.21873,-0.1311819873133207,Indiesleaze
99.24712,-0.1380686727445796,Indiesleaze
99.30729,0.0267350987145785,Indiesleaze
99.37518,-0.3000058109021919,Indiesleaze
99.39132,-0.3218690162509038,Indiesleaze
99.38895,-0.3765260242329404,Indiesleaze
99.36604,-0.5037395454700172,Indiesleaze
99.31453,-0.5073287297773673,Indiesleaze
99.26768,-0.6576071119988907,Indiesleaze
99.21994,-0.5697015738375252,Indiesleaze
99.23846,-0.3615474008685017,Indiesleaze
99.2652,-0.5089063946006606,Indiesleaze
99.30903,-0.3594551522465138,Indiesleaze
99.38902,-0.2812770623148264,Indiesleaze
99.42262,-0.2148603064013143,Indiesleaze
99.38183,-0.0528185793821299,Indiesleaze
99.27272,-0.098100288598406,Indiesleaze
99.04582,-0.0608058357862373,Indiesleaze
98.91441,-0.0267245580938602,Indiesleaze
98.90597,-0.1364932089364376,Indiesleaze
98.82299,-0.1725037835557399,Indiesleaze
98.58913,0.1689402148730114,Indiesleaze
98.31213,0.4241161962163812,Indiesleaze
98.20346,0.599558881776711,Indiesleaze
98.21943,0.7007809598076047,Indiesleaze
98.35287,0.774915137885938,Indiesleaze
98.53907,1.5219181814086549,Indiesleaze
98.7452,1.69911982823281,Indiesleaze
98.89159,1.840129086636845,Indiesleaze
98.95768,1.3312332559180573,Indiesleaze
98.95599,1.2255064134818483,Indiesleaze
98.92139,1.1498153507979625,Indiesleaze
98.82849,1.0728383991417243,Indiesleaze
98.77732,1.737617430099914,Indiesleaze
98.77785,2.1304849058659547,Indiesleaze
98.82154,2.0283873584926178,Indiesleaze
98.88181,2.083502598219344,Indiesleaze
98.89039,2.346042451511918,Indiesleaze
98.8409,2.7856364556026776,Indiesleaze
98.90736,2.296361084112184,Indiesleaze
99.02441,2.1748289958044453,Indiesleaze
99.13401,2.1625322977698342,Indiesleaze
99.24032,1.4848913618206208,Indiesleaze
99.38569,1.1883749123647425,Indiesleaze
99.51501,0.8493149384089204,Indiesleaze
99.6199,1.0866737297039184,Indiesleaze
