date,cci,indiesleaze_score,lipstickindex_score,maxiskirt_score,bigbag_score,highheelindex_score,peplums_score,blazers_score,mini_score,indiesleaze_lag3,indiesleaze_lag6,lipstickindex_lag3,lipstickindex_lag6,maxiskirt_lag3,maxiskirt_lag6,bigbag_lag3,bigbag_lag6,highheelindex_lag3,highheelindex_lag6,peplums_lag3,peplums_lag6,blazers_lag3,blazers_lag6,mini_lag3,mini_lag6,cci_lag3,cci_lag6
,100.8491,-1.343573306231235,-0.3493514826000473,-0.9457430470771652,-1.4557903570829935,-1.1298266216366517,-0.6034181220595345,-0.8755766689117914,-0.7420377710051854,,,,,,,,,,,,,,,,,100.7505,100.8285
,100.8355,-1.4805126896112892,-0.2897779045394317,-0.9457482027066464,-1.5052966676939816,-1.433856687049389,-0.6034181220595345,-0.8756066981242943,-0.7107008569820629,,,,,,,,,,,,,,,,,100.7282,100.8303
,100.7913,-1.4736260041800304,-0.3344500966838206,-0.9457430470771652,-0.8619470274189415,-1.5899403898890565,-0.6034181220595345,-0.8755916835180428,-1.0242633424850434,,,,,,,,,,,,,,,,,100.7717,100.8061
,100.7505,-1.5080573278893392,-0.2451188305026451,-0.9457430470771652,-1.5052544135725625,-1.5314095885111931,-0.6034181220595345,-0.8756217120672978,-0.9877866457521058,-1.343573306231235,,-0.3493514826000473,,-0.9457430470771652,,-1.4557903570829935,,-1.1298266216366517,,-0.6034181220595345,,-0.8755766689117914,,-0.7420377710051854,,100.8285,100.81
,100.7282,-1.501172745905066,-0.2599808612931452,-0.9457430470771652,-1.5052755406332718,-1.4810161273999272,-0.6034181220595345,-0.8756217120672978,-0.9513099490191684,-1.4805126896112892,,-0.2897779045394317,,-0.9457482027066464,,-1.5052966676939816,,-1.433856687049389,,-0.6034181220595345,,-0.8756066981242943,,-0.7107008569820629,,100.8303,100.8644
,100.7717,-1.5149440133205982,-0.4089287550199206,-0.9457482027066464,-1.3567988629217267,-1.0799830658980147,-0.6034181220595345,-0.8756517412798007,-0.4042078007396566,-1.4736260041800304,,-0.3344500966838206,,-0.9457430470771652,,-0.8619470274189415,,-1.5899403898890565,,-0.6034181220595345,,-0.8755916835180428,,-1.0242633424850434,,100.8061,100.9582
,100.8285,-1.375970744152046,-0.3791222888282095,-0.9457533583361272,-1.059866634559346,-1.3464674077178111,-0.6034181220595345,-0.8756066981242943,-0.9513099490191684,-1.5080573278893392,-1.343573306231235,-0.2451188305026451,-0.3493514826000473,-0.9457430470771652,-0.9457430470771652,-1.5052544135725625,-1.4557903570829935,-1.5314095885111931,-1.1298266216366517,-0.6034181220595345,-0.6034181220595345,-0.8756217120672978,-0.8755766689117914,-0.9877866457521058,-0.7420377710051854,100.81,101.0323
,100.8303,-1.3917780008030616,-0.289791022647034,-0.9457482027066464,-0.9114110839085102,-1.5118985384692227,-0.6034181220595345,-0.8755466396992885,-0.465706299742799,-1.501172745905066,-1.4805126896112892,-0.2599808612931452,-0.2897779045394317,-0.9457430470771652,-0.9457482027066464,-1.5052755406332718,-1.5052966676939816,-1.4810161273999272,-1.433856687049389,-0.6034181220595345,-0.6034181220595345,-0.8756217120672978,-0.8756066981242943,-0.9513099490191684,-0.7107008569820629,100.8644,101.011
,100.8061,-1.3780046299405435,-0.0962102919015963,-0.9457430470771652,-0.9114110839085102,-1.1970867207516094,-0.6034181220595345,-0.8755466396992885,-1.097216735950918,-1.5149440133205982,-1.4736260041800304,-0.4089287550199206,-0.3344500966838206,-0.9457482027066464,-0.9457430470771652,-1.3567988629217267,-0.8619470274189415,-1.0799830658980147,-1.5899403898890565,-0.6034181220595345,-0.6034181220595345,-0.8756517412798007,-0.8755916835180428,-0.4042078007396566,-1.0242633424850434,100.9582,100.8773
,100.81,-1.3561434353713175,-0.0962102919015963,-0.9457378914476844,-0.466053204897754,-0.6751966584735337,-0.6034181220595345,-0.8754865819375307,-0.3080360375488876,-1.375970744152046,-1.5080573278893392,-0.3791222888282095,-0.2451188305026451,-0.9457533583361272,-0.9457430470771652,-1.059866634559346,-1.5052544135725625,-1.3464674077178111,-1.5314095885111931,-0.6034181220595345,-0.6034181220595345,-0.8756066981242943,-0.8756217120672978,-0.9513099490191684,-0.9877866457521058,101.0323,100.7314
,100.8644,-1.3265628078577842,-0.2748728234610273,-0.9457430470771652,-0.3670405836757777,-1.258261934167751,-0.6034181220595345,-0.8754715673312792,-1.097216735950918,-1.3917780008030616,-1.501172745905066,-0.289791022647034,-0.2599808612931452,-0.9457482027066464,-0.9457430470771652,-0.9114110839085102,-1.5052755406332718,-1.5118985384692227,-1.4810161273999272,-0.6034181220595345,-0.6034181220595345,-0.8755466396992885,-0.8756217120672978,-0.465706299742799,-0.9513099490191684,101.011,100.6746
,100.9582,-1.3002193078551838,-0.3492990093667184,-0.9457430470771652,0.375300549414428,-0.9912146006232496,-0.6034181220595345,-0.8754115095695214,-0.9877866457521058,-1.3780046299405435,-1.5149440133205982,-0.0962102919015963,-0.4089287550199206,-0.9457430470771652,-0.9457482027066464,-0.9114110839085102,-1.3567988629217267,-1.1970867207516094,-1.0799830658980147,-0.6034181220595345,-0.6034181220595345,-0.8755466396992885,-0.8756517412798007,-1.097216735950918,-0.4042078007396566,100.8773,100.7139
,101.0323,-1.4144683460191498,-0.2450925934845206,-0.9457378914476844,-0.0206442988238278,-0.74388340639667,-0.6034181220595345,-0.8755466396992885,-0.5613344873326069,-1.3561434353713175,-1.375970744152046,-0.0962102919015963,-0.3791222888282095,-0.9457378914476844,-0.9457533583361272,-0.466053204897754,-1.059866634559346,-0.6751966584735337,-1.3464674077178111,-0.6034181220595345,-0.6034181220595345,-0.8754865819375307,-0.8756066981242943,-0.3080360375488876,-0.9513099490191684,100.7314,100.6771
,101.011,-1.3946207743809664,-0.0961840548834718,-0.9457378914476844,-0.3670617107364874,-1.1103155715946806,-0.6034181220595345,-0.8755316250930371,-1.2066507948905347,-1.3265628078577842,-1.3917780008030616,-0.2748728234610273,-0.289791022647034,-0.9457430470771652,-0.9457482027066464,-0.3670405836757777,-0.9114110839085102,-1.258261934167751,-1.5118985384692227,-0.6034181220595345,-0.6034181220595345,-0.8754715673312792,-0.8755466396992885,-1.097216735950918,-0.465706299742799,100.6746,100.4738
