date,cci,indicator,trend_score,year,month,quarter,year_month,economic_period
,100.8491,Indiesleaze,-1.343573306231235,,,,NaT,Unknown
,100.8355,Indiesleaze,-1.4805126896112892,,,,NaT,Unknown
,100.7913,Indiesleaze,-1.4736260041800304,,,,NaT,Unknown
,100.7505,Indiesleaze,-1.5080573278893392,,,,NaT,Unknown
,100.7282,Indiesleaze,-1.501172745905066,,,,NaT,Unknown
,100.7717,Indiesleaze,-1.5149440133205982,,,,NaT,Unknown
,100.8285,Indiesleaze,-1.375970744152046,,,,NaT,Unknown
,100.8303,Indiesleaze,-1.3917780008030616,,,,NaT,Unknown
,100.8061,Indiesleaze,-1.3780046299405435,,,,NaT,Unknown
,100.81,Indiesleaze,-1.3561434353713175,,,,NaT,Unknown
,100.8644,Indiesleaze,-1.3265628078577842,,,,NaT,Unknown
,100.9582,Indiesleaze,-1.3002193078551838,,,,NaT,Unknown
,101.0323,Indiesleaze,-1.4144683460191498,,,,NaT,Unknown
,101.011,Indiesleaze,-1.3946207743809664,,,,NaT,Unknown
,100.8773,Indiesleaze,-1.4262093245123704,,,,NaT,Unknown
,100.7314,Indiesleaze,-1.4124380570968382,,,,NaT,Unknown
,100.6746,Indiesleaze,-1.4173111195970547,,,,NaT,Unknown
,100.7139,Indiesleaze,-1.5080573278893392,,,,NaT,Unknown
,100.6771,Indiesleaze,-1.4379690724438456,,,,NaT,Unknown
,100.4738,Indiesleaze,-1.3589841981697366,,,,NaT,Unknown
,100.2284,Indiesleaze,-1.3755982391631736,,,,NaT,Unknown
,100.2087,Indiesleaze,-1.344007678252284,,,,NaT,Unknown
,100.4345,Indiesleaze,-1.3339042208350471,,,,NaT,Unknown
,100.7531,Indiesleaze,-1.3043271901877005,,,,NaT,Unknown
,100.9735,Indiesleaze,-1.307169963765605,,,,NaT,Unknown
,101.0192,Indiesleaze,-1.3654968851929228,,,,NaT,Unknown
,100.9796,Indiesleaze,-1.3594185701907855,,,,NaT,Unknown
,100.8748,Indiesleaze,-1.319738082126202,,,,NaT,Unknown
,100.7045,Indiesleaze,-1.3533590246269034,,,,NaT,Unknown
,100.6121,Indiesleaze,-1.316895308548297,,,,NaT,Unknown
,100.5865,Indiesleaze,-1.2107944677040154,,,,NaT,Unknown
,100.6138,Indiesleaze,-1.0504147315122412,,,,NaT,Unknown
,100.7571,Indiesleaze,-0.9872090472715352,,,,NaT,Unknown
,100.9613,Indiesleaze,-0.9232006929148788,,,,NaT,Unknown
,101.0749,Indiesleaze,-0.9726106399886264,,,,NaT,Unknown
,101.1291,Indiesleaze,-1.067402770913751,,,,NaT,Unknown
,101.1371,Indiesleaze,-1.1111291816111746,,,,NaT,Unknown
,101.0739,Indiesleaze,-1.1180158670424334,,,,NaT,Unknown
,100.9943,Indiesleaze,-1.1909468960658316,,,,NaT,Unknown
,100.9702,Indiesleaze,-1.1763427884697513,,,,NaT,Unknown
,100.9881,Indiesleaze,-1.1694561030384925,,,,NaT,Unknown
,100.9631,Indiesleaze,-1.1358331497583054,,,,NaT,Unknown
,100.9196,Indiesleaze,-1.0742894563450098,,,,NaT,Unknown
,100.7676,Indiesleaze,-0.9434846473535974,,,,NaT,Unknown
,100.5712,Indiesleaze,-0.935770822054962,,,,NaT,Unknown
,100.3328,Indiesleaze,-0.8596231137130861,,,,NaT,Unknown
,100.0589,Indiesleaze,-0.7831029003823375,,,,NaT,Unknown
,99.8483,Indiesleaze,-0.6660750591196288,,,,NaT,Unknown
,99.63045,Indiesleaze,-0.7385513605970231,,,,NaT,Unknown
,99.32162,Indiesleaze,-0.7632532252971682,,,,NaT,Unknown
,98.95058,Indiesleaze,-0.8155241980267897,,,,NaT,Unknown
,98.49242,Indiesleaze,-0.8434433520731981,,,,NaT,Unknown
,98.04234,Indiesleaze,-0.8572167229357159,,,,NaT,Unknown
,97.69081,Indiesleaze,-0.8653045466424241,,,,NaT,Unknown
,97.58231,Indiesleaze,-0.6758024146818069,,,,NaT,Unknown
,97.66558,Indiesleaze,-0.4489982114838632,,,,NaT,Unknown
,97.67867,Indiesleaze,-0.4327621904574708,,,,NaT,Unknown
,97.41298,Indiesleaze,-0.4076802023432955,,,,NaT,Unknown
,97.16837,Indiesleaze,-0.2395845374059003,,,,NaT,Unknown
,97.03234,Indiesleaze,-0.28218852818632,,,,NaT,Unknown
,96.9688,Indiesleaze,-0.3760692859074507,,,,NaT,Unknown
,96.97824,Indiesleaze,-0.4749094429124006,,,,NaT,Unknown
,97.20629,Indiesleaze,-0.4785788389973965,,,,NaT,Unknown
,97.66534,Indiesleaze,-0.5806321711221382,,,,NaT,Unknown
,98.12306,Indiesleaze,-0.4457850363640717,,,,NaT,Unknown
,98.46567,Indiesleaze,-0.4275917444606411,,,,NaT,Unknown
,98.68877,Indiesleaze,-0.3846980812762658,,,,NaT,Unknown
,98.89773,Indiesleaze,-0.0749458210887904,,,,NaT,Unknown
,99.11938,Indiesleaze,-0.1886797580937764,,,,NaT,Unknown
,99.21873,Indiesleaze,-0.1311819873133207,,,,NaT,Unknown
,99.24712,Indiesleaze,-0.1380686727445796,,,,NaT,Unknown
,99.30729,Indiesleaze,0.0267350987145785,,,,NaT,Unknown
,99.37518,Indiesleaze,-0.3000058109021919,,,,NaT,Unknown
,99.39132,Indiesleaze,-0.3218690162509038,,,,NaT,Unknown
,99.38895,Indiesleaze,-0.3765260242329404,,,,NaT,Unknown
,99.36604,Indiesleaze,-0.5037395454700172,,,,NaT,Unknown
,99.31453,Indiesleaze,-0.5073287297773673,,,,NaT,Unknown
,99.26768,Indiesleaze,-0.6576071119988907,,,,NaT,Unknown
,99.21994,Indiesleaze,-0.5697015738375252,,,,NaT,Unknown
,99.23846,Indiesleaze,-0.3615474008685017,,,,NaT,Unknown
,99.2652,Indiesleaze,-0.5089063946006606,,,,NaT,Unknown
,99.30903,Indiesleaze,-0.3594551522465138,,,,NaT,Unknown
,99.38902,Indiesleaze,-0.2812770623148264,,,,NaT,Unknown
,99.42262,Indiesleaze,-0.2148603064013143,,,,NaT,Unknown
,99.38183,Indiesleaze,-0.0528185793821299,,,,NaT,Unknown
,99.27272,Indiesleaze,-0.098100288598406,,,,NaT,Unknown
,99.04582,Indiesleaze,-0.0608058357862373,,,,NaT,Unknown
,98.91441,Indiesleaze,-0.0267245580938602,,,,NaT,Unknown
,98.90597,Indiesleaze,-0.1364932089364376,,,,NaT,Unknown
,98.82299,Indiesleaze,-0.1725037835557399,,,,NaT,Unknown
,98.58913,Indiesleaze,0.1689402148730114,,,,NaT,Unknown
,98.31213,Indiesleaze,0.4241161962163812,,,,NaT,Unknown
,98.20346,Indiesleaze,0.599558881776711,,,,NaT,Unknown
,98.21943,Indiesleaze,0.7007809598076047,,,,NaT,Unknown
,98.35287,Indiesleaze,0.774915137885938,,,,NaT,Unknown
,98.53907,Indiesleaze,1.5219181814086549,,,,NaT,Unknown
,98.7452,Indiesleaze,1.69911982823281,,,,NaT,Unknown
,98.89159,Indiesleaze,1.840129086636845,,,,NaT,Unknown
,98.95768,Indiesleaze,1.3312332559180573,,,,NaT,Unknown
,98.95599,Indiesleaze,1.2255064134818483,,,,NaT,Unknown
,98.92139,Indiesleaze,1.1498153507979625,,,,NaT,Unknown
,98.82849,Indiesleaze,1.0728383991417243,,,,NaT,Unknown
,98.77732,Indiesleaze,1.737617430099914,,,,NaT,Unknown
,98.77785,Indiesleaze,2.1304849058659547,,,,NaT,Unknown
,98.82154,Indiesleaze,2.0283873584926178,,,,NaT,Unknown
,98.88181,Indiesleaze,2.083502598219344,,,,NaT,Unknown
,98.89039,Indiesleaze,2.346042451511918,,,,NaT,Unknown
,98.8409,Indiesleaze,2.7856364556026776,,,,NaT,Unknown
,98.90736,Indiesleaze,2.296361084112184,,,,NaT,Unknown
,99.02441,Indiesleaze,2.1748289958044453,,,,NaT,Unknown
,99.13401,Indiesleaze,2.1625322977698342,,,,NaT,Unknown
,99.24032,Indiesleaze,1.4848913618206208,,,,NaT,Unknown
,99.38569,Indiesleaze,1.1883749123647425,,,,NaT,Unknown
,99.51501,Indiesleaze,0.8493149384089204,,,,NaT,Unknown
,99.6199,Indiesleaze,1.0866737297039184,,,,NaT,Unknown
,99.63353,Indiesleaze,1.556492193955571,,,,NaT,Unknown
,99.58079,Indiesleaze,1.4503725836730343,,,,NaT,Unknown
,99.50854,Indiesleaze,1.7014823795261091,,,,NaT,Unknown
,99.53588,Indiesleaze,1.656118355085202,,,,NaT,Unknown
,99.62159,Indiesleaze,1.6824822106127573,,,,NaT,Unknown
,99.67623,Indiesleaze,1.4244878327754091,,,,NaT,Unknown
,99.72331,Indiesleaze,1.2259787928114327,,,,NaT,Unknown
,99.81053,Indiesleaze,1.0436551221330157,,,,NaT,Unknown
,99.91844,Indiesleaze,0.6628167111774503,,,,NaT,Unknown
,99.9707,Indiesleaze,0.3594156797372987,,,,NaT,Unknown
,99.98325,Indiesleaze,0.0697859157126791,,,,NaT,Unknown
,99.96016,Indiesleaze,0.294556233122125,,,,NaT,Unknown
,99.94144,Indiesleaze,0.4954471941120453,,,,NaT,Unknown
,99.95289,Indiesleaze,0.4897230393533113,,,,NaT,Unknown
,100.0072,Indiesleaze,0.7364331770229289,,,,NaT,Unknown
,100.1152,Indiesleaze,0.7023554961967376,,,,NaT,Unknown
,100.3015,Indiesleaze,0.7801575769408667,,,,NaT,Unknown
,100.5061,Indiesleaze,0.4549157064564438,,,,NaT,Unknown
,100.6415,Indiesleaze,0.3285308185059442,,,,NaT,Unknown
,100.7004,Indiesleaze,0.1794576887863415,,,,NaT,Unknown
,100.6971,Indiesleaze,0.0194462506894687,,,,NaT,Unknown
,100.6304,Indiesleaze,-0.1219130537314983,,,,NaT,Unknown
,100.5792,Indiesleaze,-0.1450617233597766,,,,NaT,Unknown
,100.4717,Indiesleaze,-0.072129200917178,,,,NaT,Unknown
,100.3844,Indiesleaze,0.2150099389934542,,,,NaT,Unknown
,100.3574,Indiesleaze,0.1117331022888223,,,,NaT,Unknown
,100.4646,Indiesleaze,0.3494419396007521,,,,NaT,Unknown
,100.6011,Indiesleaze,0.256305581829581,,,,NaT,Unknown
,100.6466,Indiesleaze,0.2850554726095517,,,,NaT,Unknown
,100.578,Indiesleaze,0.1408554053901657,,,,NaT,Unknown
,100.4687,Indiesleaze,0.0432183974401508,,,,NaT,Unknown
,100.4043,Indiesleaze,-0.0207935537826912,,,,NaT,Unknown
,100.4072,Indiesleaze,-0.1374509935035131,,,,NaT,Unknown
,100.4591,Indiesleaze,-0.2204818830779619,,,,NaT,Unknown
,100.4482,Indiesleaze,-0.3771937166039404,,,,NaT,Unknown
,100.369,Indiesleaze,-0.2946160611562953,,,,NaT,Unknown
,100.353,Indiesleaze,-0.1678587608844228,,,,NaT,Unknown
,100.3886,Indiesleaze,0.1443400008359436,,,,NaT,Unknown
,100.4265,Indiesleaze,0.364311767209647,,,,NaT,Unknown
,100.4984,Indiesleaze,0.1419315992790877,,,,NaT,Unknown
,100.5551,Indiesleaze,0.1350449138478288,,,,NaT,Unknown
,100.5492,Indiesleaze,-0.0411182192713196,,,,NaT,Unknown
,100.5726,Indiesleaze,-0.1468450617075285,,,,NaT,Unknown
,100.6716,Indiesleaze,-0.1922069827014502,,,,NaT,Unknown
,100.7779,Indiesleaze,-0.2930607626374427,,,,NaT,Unknown
,100.8479,Indiesleaze,-0.3922713211842794,,,,NaT,Unknown
,100.8715,Indiesleaze,-0.508099610258239,,,,NaT,Unknown
,100.9022,Indiesleaze,-0.3594755077714689,,,,NaT,Unknown
,100.9646,Indiesleaze,-0.1901990600835795,,,,NaT,Unknown
,101.0394,Indiesleaze,-0.0532743319153085,,,,NaT,Unknown
,101.1279,Indiesleaze,0.2116290976577392,,,,NaT,Unknown
,101.1537,Indiesleaze,0.0977301055107051,,,,NaT,Unknown
,101.1465,Indiesleaze,0.099387982111644,,,,NaT,Unknown
,101.1462,Indiesleaze,-0.1857187654296906,,,,NaT,Unknown
,101.1635,Indiesleaze,-0.1298565049457332,,,,NaT,Unknown
,101.1716,Indiesleaze,-0.2080163427994514,,,,NaT,Unknown
,101.1573,Indiesleaze,-0.3060216488443674,,,,NaT,Unknown
,101.1505,Indiesleaze,-0.4218519486978127,,,,NaT,Unknown
,101.1641,Indiesleaze,-0.4068754287803598,,,,NaT,Unknown
,101.1837,Indiesleaze,-0.3643521671378713,,,,NaT,Unknown
,101.1361,Indiesleaze,-0.2258336255153233,,,,NaT,Unknown
,101.0653,Indiesleaze,-0.0337971618190118,,,,NaT,Unknown
,100.9734,Indiesleaze,0.2137213462797272,,,,NaT,Unknown
,100.8683,Indiesleaze,0.1699329758826274,,,,NaT,Unknown
,100.7913,Indiesleaze,0.1606399923414982,,,,NaT,Unknown
,100.7627,Indiesleaze,-0.0232223108645022,,,,NaT,Unknown
,100.828,Indiesleaze,-0.0025418990457705,,,,NaT,Unknown
,100.9065,Indiesleaze,0.0873995356835784,,,,NaT,Unknown
,100.9201,Indiesleaze,-0.130934709614141,,,,NaT,Unknown
,100.8882,Indiesleaze,-0.2427190868347464,,,,NaT,Unknown
,100.7932,Indiesleaze,-0.1859494747057669,,,,NaT,Unknown
,100.665,Indiesleaze,-0.1057557510635511,,,,NaT,Unknown
,100.5145,Indiesleaze,0.0999900203486162,,,,NaT,Unknown
,100.4945,Indiesleaze,0.3738744874218966,,,,NaT,Unknown
,100.5689,Indiesleaze,0.8701593852831915,,,,NaT,Unknown
,100.712,Indiesleaze,0.8008176332346434,,,,NaT,Unknown
,100.8151,Indiesleaze,0.9531319120241498,,,,NaT,Unknown
,100.7446,Indiesleaze,0.6404581599003244,,,,NaT,Unknown
,100.2593,Indiesleaze,0.6287207782732898,,,,NaT,Unknown
,99.21815,Indiesleaze,0.0802617854512882,,,,NaT,Unknown
,98.10604,Indiesleaze,0.1281388003106238,,,,NaT,Unknown
,97.75997,Indiesleaze,0.2962344652480191,,,,NaT,Unknown
,97.96384,Indiesleaze,0.2330328952337845,,,,NaT,Unknown
,98.23829,Indiesleaze,0.3269978862915324,,,,NaT,Unknown
,98.49018,Indiesleaze,0.5352307776190011,,,,NaT,Unknown
,98.70477,Indiesleaze,0.6911738341110933,,,,NaT,Unknown
,98.78632,Indiesleaze,0.8641055400324807,,,,NaT,Unknown
,98.79976,Indiesleaze,0.7251505229418982,,,,NaT,Unknown
,98.91467,Indiesleaze,0.8661561844797474,,,,NaT,Unknown
,99.05409,Indiesleaze,0.6915463390999658,,,,NaT,Unknown
,99.32957,Indiesleaze,0.7792908436782546,,,,NaT,Unknown
,99.73615,Indiesleaze,0.5618639500255574,,,,NaT,Unknown
,100.0586,Indiesleaze,0.4913210597015597,,,,NaT,Unknown
,100.3027,Indiesleaze,0.2288858879380584,,,,NaT,Unknown
,100.4537,Indiesleaze,-0.0570739626412796,,,,NaT,Unknown
,100.3535,Indiesleaze,0.1989348588826384,,,,NaT,Unknown
,100.1148,Indiesleaze,0.4387563003415111,,,,NaT,Unknown
,99.95164,Indiesleaze,0.6214153618250765,,,,NaT,Unknown
,99.76938,Indiesleaze,0.9556179142847768,,,,NaT,Unknown
,99.54403,Indiesleaze,1.1119740941481515,,,,NaT,Unknown
,99.30601,Indiesleaze,1.055309163548244,,,,NaT,Unknown
,98.97307,Indiesleaze,0.5282586485289503,,,,NaT,Unknown
,98.51152,Indiesleaze,0.4188660068739315,,,,NaT,Unknown
,97.96985,Indiesleaze,0.3212513652283575,,,,NaT,Unknown
,97.5761,Indiesleaze,0.1126424647133303,,,,NaT,Unknown
,97.20341,Indiesleaze,-0.0967768170103042,,,,NaT,Unknown
,96.8323,Indiesleaze,-0.2421800332846253,,,,NaT,Unknown
,96.63258,Indiesleaze,-0.067196189496771,,,,NaT,Unknown
,96.6407,Indiesleaze,0.1697662370857131,,,,NaT,Unknown
,96.66358,Indiesleaze,0.2049876791461742,,,,NaT,Unknown
,96.7627,Indiesleaze,0.5719616679347586,,,,NaT,Unknown
,96.9458,Indiesleaze,0.4330086616236616,,,,NaT,Unknown
,97.21941,Indiesleaze,0.4115382241212775,,,,NaT,Unknown
,97.52456,Indiesleaze,0.1292138765448713,,,,NaT,Unknown
,97.77238,Indiesleaze,0.0878958674043036,,,,NaT,Unknown
,97.93935,Indiesleaze,-0.0356498438344774,,,,NaT,Unknown
,98.14481,Indiesleaze,-0.2114445861912248,,,,NaT,Unknown
,98.32935,Indiesleaze,-0.2490890850203251,,,,NaT,Unknown
,98.50545,Indiesleaze,-0.3665772614747095,,,,NaT,Unknown
,98.58678,Indiesleaze,-0.1879193900151024,,,,NaT,Unknown
,98.48763,Indiesleaze,-0.140543846090138,,,,NaT,Unknown
,98.32858,Indiesleaze,0.0862759981118998,,,,NaT,Unknown
,98.22819,Indiesleaze,0.3710462371934117,,,,NaT,Unknown
,98.33882,Indiesleaze,0.4115335096004169,,,,NaT,Unknown
,98.66457,Indiesleaze,0.3572728663308938,,,,NaT,Unknown
,99.00814,Indiesleaze,0.0547057000584651,,,,NaT,Unknown
,99.19379,Indiesleaze,0.0397495356659672,,,,NaT,Unknown
,99.2499,Indiesleaze,-0.0635668944338998,,,,NaT,Unknown
,99.17113,Indiesleaze,-0.1230767020586978,,,,NaT,Unknown
,99.02784,Indiesleaze,-0.2850996596396276,,,,NaT,Unknown
,98.94792,Indiesleaze,-0.155023009299691,,,,NaT,Unknown
,98.92973,Indiesleaze,0.1468248270685936,,,,NaT,Unknown
,98.96976,Indiesleaze,0.6540424256614873,,,,NaT,Unknown
,99.04605,Indiesleaze,1.3581674470039231,,,,NaT,Unknown
,99.12044,Indiesleaze,1.7884475946683138,,,,NaT,Unknown
,99.1316,Indiesleaze,1.6202473408693463,,,,NaT,Unknown
,99.0723,Indiesleaze,1.688364695213194,,,,NaT,Unknown
,100.8491,Lipstickindex,-0.3493514826000473,,,,NaT,Unknown
,100.8355,Lipstickindex,-0.2897779045394317,,,,NaT,Unknown
,100.7913,Lipstickindex,-0.3344500966838206,,,,NaT,Unknown
,100.7505,Lipstickindex,-0.2451188305026451,,,,NaT,Unknown
,100.7282,Lipstickindex,-0.2599808612931452,,,,NaT,Unknown
,100.7717,Lipstickindex,-0.4089287550199206,,,,NaT,Unknown
,100.8285,Lipstickindex,-0.3791222888282095,,,,NaT,Unknown
,100.8303,Lipstickindex,-0.289791022647034,,,,NaT,Unknown
,100.8061,Lipstickindex,-0.0962102919015963,,,,NaT,Unknown
,100.81,Lipstickindex,-0.0962102919015963,,,,NaT,Unknown
,100.8644,Lipstickindex,-0.2748728234610273,,,,NaT,Unknown
,100.9582,Lipstickindex,-0.3492990093667184,,,,NaT,Unknown
,101.0323,Lipstickindex,-0.2450925934845206,,,,NaT,Unknown
,101.011,Lipstickindex,-0.0961840548834718,,,,NaT,Unknown
,100.8773,Lipstickindex,-0.2897779045394317,,,,NaT,Unknown
,100.7314,Lipstickindex,-0.2897779045394317,,,,NaT,Unknown
,100.6746,Lipstickindex,-0.2897647856289095,,,,NaT,Unknown
,100.7139,Lipstickindex,-0.3642303266603273,,,,NaT,Unknown
,100.6771,Lipstickindex,-0.3642434447679295,,,,NaT,Unknown
,100.4738,Lipstickindex,-0.2451188305026451,,,,NaT,Unknown
,100.2284,Lipstickindex,-0.2451319486102473,,,,NaT,Unknown
